#Tue Sep 21 10:39:14 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
               9          -25.55           6.648
              10           14.97           6.993
              11           7.087           7.595
              12          -38.56           7.573
              13          -27.77           6.236
              14           40.29           6.762
              15            14.2           7.837
              16           -25.7           7.042
              17          -21.05             6.6
              18          -14.25            6.88
              19           28.31            6.58
              20          -32.79            7.03
              21          -24.81           6.297
              22           0.468           7.663
              23           12.76           6.461
              24          -9.604            6.83
              25          -14.36            6.64
              26           24.34           5.991
              27           31.19           7.127
              28          -20.41           6.401
              29          -16.11           6.462
              30           11.56           6.257
              31           23.27           7.634
              32          -53.28           7.257
              33          -17.33           6.591
              34           9.442           6.613
              35          -1.971           6.865
              36             -36           7.549
              37          -29.94           6.151
              38           11.54           6.951
              39            18.6           7.479
              40          -5.486           7.329
              41          -11.49           6.469
              42           30.28           7.319
              43            14.3           7.917
              44          -9.095           6.747
              45          -1.692            7.79
              46           17.84           6.798
              47           32.17           8.689
              48          -31.75           6.783
              49           -8.45           6.345
              50           3.253           6.382
              51         -0.3393           6.158
              52          -25.71            6.76
              53          -22.57           6.188
              54           4.786           7.193
              55           5.421           6.476
              56          -23.24           6.398
              57          -8.341           6.278
              58           34.76            6.13
              59           29.88           7.261
              60          -1.536           6.152
              61           -26.6           6.244
              62           16.07           5.977
              63           39.49           8.392
              64          -11.91           7.292
              65          -19.04            6.35
              66           28.52           6.746
              67              16           6.468
              68          -18.66           7.387
              69          -15.68           5.895
              70           27.62           6.501
              71           -11.2           6.771
              72          -30.64           7.141
              73          -17.73           5.766
              74           12.97           6.246
              75           19.57           7.379
              76          -20.89           6.414
              77          -36.77           6.543
              78           2.466           6.136
              79           32.39           8.185
              80          -39.35           6.923
              81          -18.53           6.335
              82          -1.597           8.423
              83           35.59           6.056
              84          -26.85           7.049
              85          -3.337           6.256
              86           34.72           5.821
              87           28.04           6.477
              88          -23.85           6.458
              89          -23.22           6.111
              90           13.52           5.685
              91           26.32           7.246
              92          -29.86           6.074
              93          -8.257           6.306
              94            24.7           5.596
              95           31.38           8.092
              96           -26.3            7.17
              97          -3.701           5.966
              98           4.193           6.574
              99           37.59           7.113
             100          -40.76           7.199
             101          -13.26           6.102
