#Mon Sep 20 22:02:05 2021
# This file defines the common-mode range for the online zero-suppression for the GEM DAQ. Copy its contents into (location TBD) to set these values for detector bb.gem
# format = crate     slot      mpd_id     adc_ch      commonmode min      commonmode max
          20          11           0           9           0           0
          20          11           0          10           0           0
          20          11           0          11           0           0
          20          11           4          10         468         591
          20          11           4          11         437         532
          20          11           4          12         478         566
          20          11           4          13         464         539
          20          11           4          14         405         493
          20          11           5           0         467         568
          20          11           5           1         563         643
          20          11           5           2         527         603
          20          11           5           3         394         477
          20          11           5           4         547         648
          20          11           1           0           0           0
          20          11           1           1           0           0
          20          11           1           2           0           0
          20          11           1           3           0           0
          20          11           1           4           0           0
          20          11           1           5           0           0
          20          11           1           6           0           0
          20          11           1           7           0           0
          20          11           1           8           0           0
          20          11           1           9           0           0
          20          11           1          10           0           0
          20          11           1          11           0           0
          20          11           4           5         453         563
          20          11           4           6         461         555
          20          11           4           7         327         404
          20          11           4           8         479         567
          20          11           4           9         359         444
          20          11           5           5         465         611
          20          11           5           6         349         438
          20          11           5           7         473         570
          20          11           5           8         322         453
          20          11           5           9         590         709
          20          11           2           0         509         642
          20          11           2           1         517         595
          20          11           2           2         327         433
          20          11           2           3         404         484
          20          11           2           4         498         588
          20          11           2           5         522         614
          20          11           2           6         553         657
          20          11           2           7         422         500
          20          11           2           8         610         696
          20          11           2           9         704         794
          20          11           2          10         362         455
          20          11           2          11         576         723
          20          11           4           0         414         531
          20          11           4           1         496         602
          20          11           4           2         498         605
          20          11           4           3         536         642
          20          11           4           4         480         582
          20          11           5          10         433         564
          20          11           5          11         252         355
          20          11           5          12         246         341
          20          11           5          13         473         571
          20          11           5          14         475         581
          20          11           3           0         379         541
          20          11           3           1         402         474
          20          11           3           2         321         414
          20          11           3           3         350         432
          20          11           3           4         346         424
          20          11           3           5         455         538
          20          11           3           6         567         659
          20          11           3           7         490         575
          20          11           3           8         557         644
          20          11           3           9         506         588
          20          11           3          10         631         709
          20          11           3          11         530         663
          20          11           6           0         575         722
          20          11           6           1         685         774
          20          11           6           2         498         640
          20          11           6           3         658         804
          20          11           6           4         620         735
          20          11           6           8         451         543
          20          11           6           9         386         466
          20          11           6          10         406         508
          20          11           6          11         420         511
          20          11           6          12         448         541
