APV                4               2               2               0
             113          -29.85           7.079
             114           24.64              11
             115           40.11           8.374
             116          -48.68           8.657
             117          -13.18           6.548
             118            25.4            9.34
             119           51.58           8.051
             120           -57.6           7.405
             121           3.945           8.361
             122           28.24           8.507
             123           72.16           8.196
             124          -43.47           6.657
             125          -25.33           16.61
             126           28.08           8.549
             127           95.47           9.671
APV                4               2               2               2
               0           170.7           38.77
               1           4.942           31.49
               2          -7.461           29.97
               3           36.27           28.16
               4          -144.9           15.31
               5          -52.13           9.459
               6          -18.43           15.68
               7           18.16           8.565
               8          -27.08           7.854
               9          -36.06           7.685
              10           30.46           9.398
              11            29.6           7.605
              12          -36.86           7.164
              13          -41.73           7.857
              14           4.541           8.909
              15            40.7           7.594
              16          -11.33           12.24
              17          -27.72           7.059
              18          -3.856           24.03
              19           27.67           9.978
              20          -10.07           10.36
              21          -38.07           6.582
              22           20.96              13
              23           40.95           8.015
              24           -34.3           9.261
              25          -24.14           7.232
              26           24.77           10.41
              27           20.23           7.957
              28          -23.51           7.536
              29          -29.76           10.42
              30           21.06           9.735
              31           28.44           8.088
              32          -13.46           12.22
              33          -28.63           7.496
              34             1.8           9.897
              35            22.8           9.347
              36          -12.17           9.902
              37          -34.93           7.959
              38           25.05           10.73
              39           23.44           7.617
              40          -16.03           7.926
              41          -18.02           7.281
              42           15.17           10.52
              43           26.87           7.648
              44          -29.25           8.275
              45          -15.25           7.044
              46            41.5           7.805
              47           53.66           7.894
              48          -17.08           13.32
              49          -45.91           6.773
              50           1.626           18.75
              51           35.73           9.652
              52          -6.619           9.974
              53          -32.88           6.625
              54           8.724           12.18
              55           37.33           8.332
              56          -20.55           8.755
              57          -35.72           8.215
              58           36.33           10.12
              59           16.97           8.056
              60          -33.52           7.138
              61          -38.28            12.9
              62           11.23           9.487
              63           53.02           9.921
              64           -19.7           10.38
              65          -21.54            7.65
              66          -1.094            16.3
              67           24.98           10.08
              68           3.366            9.99
              69          -37.07           7.617
              70           24.19           13.34
              71           20.95           7.615
              72          -18.92           7.666
              73          -13.94           7.365
              74            43.4           10.72
              75           46.23           7.213
              76          -20.96           7.558
              77          -20.19            7.32
              78           27.06           8.637
              79           55.68           7.539
              80           2.811           12.64
              81          -27.65           6.885
              82           6.051           14.73
              83           36.14            8.62
              84          -39.04           10.13
              85          -42.84           6.811
              86           11.54           10.94
              87           32.25           7.823
              88          -16.99           8.484
              89          -14.54           8.986
              90         -0.7369           9.345
              91           23.83           7.777
              92          -27.02           7.082
              93          -18.72           14.73
              94           33.54            9.08
              95           52.95           7.901
              96          -18.47           10.02
              97           -25.3           7.734
              98            15.9           14.85
              99           21.34           9.474
             100          -26.81           9.362
             101          -49.93           8.124
             102           14.47           10.88
             103           18.99           7.419
             104           -44.5           7.191
             105          -18.23           7.484
             106           44.74           10.13
             107           49.93           7.381
             108          -8.643           7.492
             109          -19.72           7.125
             110           39.33           10.29
             111           83.36           7.788
             112          -8.771           12.27
             113          -27.79           6.637
             114          -4.041           12.81
             115           37.38           8.921
             116           -21.2           9.169
             117           -35.6           6.914
             118           20.18           10.32
             119           27.14           7.944
             120          -38.75           7.685
             121          -25.32           9.218
             122           47.13           9.194
             123           55.48           7.912
             124          -22.45           6.854
             125          -24.97           19.52
             126           18.44           9.191
             127           111.5           8.729
APV                4               2               2               3
               0           154.2           36.36
               1           19.54           29.25
               2          -1.424           28.97
               3           16.56           26.44
               4          -124.3           14.48
               5          -53.92           9.279
               6           2.437           20.63
               7           17.33           9.645
               8          -71.36            7.03
               9          -39.66           7.992
              10          -4.016           10.23
              11           40.77           7.568
              12          -31.58           6.506
              13          -15.27           8.337
              14           2.518           10.08
              15           46.42           6.837
              16          -26.49           10.39
              17          -45.16           6.571
              18           4.938           24.64
              19           20.48            9.86
              20          -45.69           8.897
              21          -45.89           6.618
              22           10.33           13.43
              23           30.83           7.714
              24          -34.27           7.993
              25           -21.4           7.624
              26          -3.207           10.71
              27           56.05           7.059
              28          -30.16             6.9
              29           -10.1           10.36
              30           37.58            9.89
              31            63.3           6.956
              32          -13.47           10.45
              33          -53.44           7.375
              34           9.225           11.87
              35           42.27           12.29
              36          -23.98           8.886
              37          -17.52           7.582
              38          -3.377           12.69
              39           48.69           7.838
              40          -45.08           7.029
              41          -8.449           7.091
              42          -7.201           12.81
              43           34.33           7.755
              44          -34.51           8.191
              45           9.316           7.739
              46           11.66           8.138
              47           49.47           7.071
              48          -31.12           11.13
              49          -28.83           6.492
              50           10.17           19.06
              51           11.86           9.465
              52          -35.78           8.639
              53           -29.1            6.68
              54           4.387            12.7
              55           27.81           7.768
              56          -15.53           7.698
              57          -1.717           8.345
              58           20.48           10.45
              59           61.33            7.02
              60          -44.18           6.563
              61          -12.05            13.3
              62           4.135            9.58
              63           52.71           8.824
              64          -37.02            9.43
              65          -15.72           6.796
              66           3.362           21.82
              67           28.55           12.55
              68          -68.01           8.627
              69          -41.51           7.166
              70           19.89           16.61
              71           40.25           8.127
              72          -19.86           6.844
              73          -11.02           7.046
              74           22.25            12.4
              75           33.69            7.33
              76           -42.4           7.021
              77          -13.83           8.233
              78           15.06           10.02
              79           47.85           7.094
              80          -17.56           10.74
              81          -27.73           6.488
              82           9.938           14.41
              83           32.49           8.772
              84          -36.13           8.891
              85          -8.287           6.739
              86           23.93           11.25
              87           36.61             7.2
              88          -22.35            7.49
              89          -23.76           9.301
              90            16.8            9.49
              91           43.61           6.949
              92          -41.34           6.668
              93          -7.838           14.46
              94           32.91           9.179
              95           79.64           7.015
              96          -29.22           8.648
              97          -14.65           7.462
              98           12.24           18.64
              99           21.32           10.46
             100          -30.31           8.265
             101          -20.46           7.775
             102            29.4            12.8
             103           38.61           7.436
             104           -11.3            6.69
             105           12.09           7.042
             106           17.18           10.91
             107           50.96           7.252
             108           -24.9           6.889
             109            13.3           7.459
             110           20.23            12.7
             111           74.83           7.195
             112          -51.52            10.6
             113          -21.16           6.283
             114           23.39           13.03
             115           43.93            8.88
             116          -35.34           8.009
             117           -11.5           7.101
             118            4.34           10.58
             119           46.56           7.277
             120          -38.01           6.893
             121           -16.2            9.27
             122           19.73           9.237
             123           58.91           6.923
             124          -7.963           6.464
             125          -11.34           19.24
             126           28.96           9.065
             127           106.8            7.33
APV                4               2               2               4
               0           136.1           40.85
               1          -9.387           31.22
               2           7.786           31.76
               3           10.53            29.3
               4          -155.6           16.92
               5          -73.98           10.45
               6          -23.03           23.33
               7           13.93           10.94
               8           -59.6           8.006
               9          -7.697           9.213
              10           17.76           12.34
              11           35.41           8.354
              12          -60.95           7.196
              13           6.984            9.37
              14           33.44           12.19
              15           26.01           7.787
              16           3.749           13.77
              17          -31.74           7.402
              18           7.048           31.98
              19           26.55           12.03
              20          -57.57           11.05
              21          -30.67           7.495
              22          -4.473           17.14
              23            37.6            8.43
              24          -35.06           9.984
